"id","age","gender","education","marital_status","income","happiness","class_identity"
69,59,"男","大卒","既婚",531,7,6
70,69,"男","高卒","既婚",575,5,8
71,38,"女","大卒","既婚",614,7,6
72,20,"男","大卒","未婚",695,6,9
73,60,"男","高卒","既婚",481,9,5
74,34,"女","高卒","既婚",440,9,2
75,35,"男","大卒","未婚",648,6,7
76,60,"男","中卒","未婚",403,6,6
77,41,"男","大卒","未婚",682,9,6
78,27,"女","大卒","未婚",468,5,7
79,48,"男","大卒","既婚",641,9,6
80,43,"女","大卒","未婚",723,6,8
81,45,"女","中卒","既婚",396,9,6
82,51,"男","高卒","既婚",334,9,4
83,39,"男","大卒","未婚",273,5,7
84,55,"女","高卒","未婚",604,8,7
85,42,"女","高卒","既婚",413,4,7
86,50,"男","高卒","未婚",248,6,6
87,61,"女","中卒","既婚",232,8,5
88,52,"男","高卒","未婚",531,7,6
89,40,"男","大卒","未婚",554,8,7
90,62,"女","高卒","未婚",432,5,5
91,60,"女","中卒","既婚",311,10,5
92,53,"女","大卒","既婚",374,6,5
93,49,"女","高卒","既婚",422,5,4
94,36,"女","高卒","既婚",291,10,4
95,65,"女","大卒","既婚",633,10,7
96,36,"男","大卒","既婚",374,8,6
97,69,"男","高卒","既婚",449,8,5
98,68,"女","高卒","未婚",509,7,4
99,41,"男","高卒","既婚",417,9,2
100,30,"女","高卒","既婚",416,10,8
101,34,"男","高卒","既婚",357,5,4
102,49,"女","中卒","既婚",234,5,5
103,41,"女","高卒","既婚",415,7,4
104,40,"男","大卒","未婚",690,8,8
105,31,"男","高卒","未婚",435,3,5
106,44,"男","大卒","既婚",491,7,8
107,33,"女","大卒","未婚",566,5,4
108,20,"女","高卒","未婚",150,5,4
109,39,"男","大卒","既婚",609,6,7
110,59,"男","高卒","未婚",353,8,7
111,36,"男","高卒","未婚",347,6,4
112,54,"女","高卒","既婚",580,8,5
113,21,"女","大卒","既婚",362,10,3
114,44,"女","大卒","既婚",617,7,8
115,53,"男","高卒","未婚",341,4,6
116,50,"女","中卒","既婚",378,7,4
117,47,"男","高卒","既婚",514,7,5
118,35,"女","中卒","既婚",150,7,4
119,32,"男","大卒","既婚",635,8,6
120,30,"男","大卒","未婚",443,4,7
121,47,"男","高卒","未婚",362,6,6
122,31,"男","高卒","未婚",315,7,4
123,38,"女","大卒","既婚",434,6,6
124,41,"女","中卒","既婚",173,9,3
125,69,"男","大卒","未婚",685,8,8
126,35,"女","中卒","未婚",304,8,2
127,49,"男","大卒","未婚",563,6,6
128,46,"男","高卒","未婚",163,6,2
129,31,"女","高卒","既婚",380,6,4
130,44,"男","中卒","既婚",262,7,4
131,67,"女","高卒","既婚",554,7,6
132,52,"女","大卒","既婚",430,9,6
133,46,"女","大卒","既婚",838,7,6
134,39,"女","高卒","未婚",480,8,3
135,20,"男","大卒","未婚",437,5,6
136,62,"男","高卒","既婚",418,6,6
137,23,"女","高卒","既婚",446,10,6
138,56,"男","高卒","既婚",491,8,4
139,69,"男","大卒","既婚",656,9,9
140,23,"女","大卒","未婚",580,7,7
141,56,"男","中卒","未婚",221,7,3
142,41,"女","高卒","未婚",517,9,6
143,21,"女","高卒","既婚",195,7,5
144,22,"女","高卒","既婚",436,10,6
145,21,"女","高卒","既婚",491,4,5
146,37,"女","高卒","未婚",150,7,2
147,23,"女","高卒","既婚",421,8,6
148,55,"女","中卒","既婚",242,7,2
149,69,"男","高卒","既婚",459,8,4
150,26,"男","大卒","既婚",524,7,9
151,57,"女","大卒","既婚",393,7,5
152,57,"男","大卒","既婚",516,9,6
153,50,"男","大卒","未婚",519,6,8
154,30,"女","高卒","未婚",359,8,7
155,43,"女","大卒","既婚",571,8,6
156,41,"女","高卒","既婚",378,6,6
157,53,"女","高卒","既婚",393,10,5
158,39,"男","高卒","未婚",409,6,7
159,60,"女","高卒","既婚",348,9,6
160,39,"女","大卒","未婚",560,5,7
161,61,"男","高卒","既婚",332,8,4
162,29,"女","高卒","既婚",220,7,2
163,26,"男","大卒","既婚",562,10,5
164,69,"男","高卒","既婚",490,10,5
165,39,"男","高卒","既婚",491,9,4
166,49,"男","大卒","既婚",494,7,6
167,55,"女","大卒","既婚",706,10,7
168,38,"男","大卒","既婚",660,9,10
169,53,"男","高卒","既婚",318,5,6
170,51,"女","高卒","未婚",298,8,5
171,42,"女","大卒","既婚",405,9,5
172,46,"女","高卒","未婚",406,6,8
173,44,"女","高卒","既婚",464,10,5
174,69,"女","大卒","既婚",726,10,8
175,34,"男","高卒","既婚",526,7,3
176,29,"女","高卒","未婚",401,8,7
177,46,"女","中卒","既婚",235,8,4
178,50,"男","高卒","既婚",344,7,3
179,52,"女","大卒","既婚",392,3,6
180,38,"男","大卒","既婚",460,7,8
181,29,"男","高卒","未婚",335,6,5
182,64,"男","中卒","未婚",272,7,4
183,40,"女","大卒","既婚",484,8,8
184,32,"女","高卒","未婚",276,6,3
185,41,"男","高卒","既婚",539,10,5
186,42,"女","大卒","既婚",661,8,9
187,62,"男","高卒","既婚",391,6,3
188,46,"男","高卒","既婚",244,6,6
189,56,"女","大卒","既婚",473,8,5
190,38,"男","大卒","未婚",485,6,7
191,48,"男","大卒","既婚",417,5,7
192,40,"女","大卒","未婚",594,8,6
193,46,"男","高卒","既婚",480,9,6
194,32,"男","中卒","未婚",218,5,3
195,25,"男","中卒","既婚",217,8,5
196,69,"男","大卒","既婚",401,7,4
197,54,"男","高卒","未婚",527,6,8
198,26,"男","大卒","未婚",575,8,7
199,36,"女","大卒","既婚",608,9,6
200,27,"女","高卒","未婚",482,6,4
201,69,"男","高卒","既婚",355,6,6
202,65,"男","大卒","既婚",791,9,6
203,41,"男","大卒","未婚",367,5,6
204,53,"女","高卒","既婚",375,7,4
205,39,"女","高卒","未婚",351,8,4
206,38,"男","高卒","既婚",430,8,5
207,33,"女","高卒","既婚",390,7,5
208,36,"男","大卒","未婚",574,5,7
209,69,"男","高卒","未婚",427,7,4
210,44,"女","大卒","既婚",584,7,8
211,47,"女","高卒","既婚",451,8,6
212,49,"男","高卒","未婚",537,8,8
213,63,"女","中卒","既婚",274,7,2
214,37,"女","大卒","既婚",500,10,5
215,30,"男","大卒","既婚",405,6,5
216,69,"女","高卒","未婚",383,4,3
217,38,"女","中卒","既婚",389,8,7
218,34,"男","高卒","既婚",409,9,1
219,26,"男","大卒","未婚",473,6,4
220,26,"女","高卒","既婚",225,7,3
221,36,"女","中卒","既婚",390,9,4
222,54,"男","高卒","既婚",327,6,4
223,62,"男","大卒","既婚",497,6,8
224,56,"女","大卒","既婚",526,7,9
225,40,"男","大卒","既婚",408,7,5
226,46,"女","大卒","既婚",642,6,8
227,34,"女","高卒","未婚",274,7,2
228,34,"女","大卒","既婚",477,9,8
229,58,"男","高卒","未婚",399,7,4
230,30,"女","大卒","既婚",710,10,8
231,69,"男","高卒","既婚",298,9,3
232,44,"男","高卒","既婚",339,9,5
233,48,"女","高卒","既婚",389,7,5
234,34,"男","大卒","未婚",414,8,5
235,36,"女","大卒","未婚",511,5,7
236,25,"女","大卒","既婚",444,9,10
237,42,"男","大卒","既婚",428,10,6
238,51,"女","大卒","既婚",612,10,7
239,50,"女","大卒","既婚",543,9,6
240,33,"男","大卒","既婚",786,10,8
241,33,"女","高卒","既婚",437,6,5
242,37,"男","大卒","未婚",611,5,6
243,67,"女","中卒","既婚",325,7,6
244,28,"男","中卒","既婚",364,8,5
245,42,"男","大卒","未婚",413,6,8
246,69,"男","大卒","既婚",667,7,10
247,43,"女","中卒","未婚",285,4,2
248,25,"男","大卒","既婚",569,9,6
249,35,"女","高卒","未婚",452,8,6
250,52,"女","大卒","未婚",758,7,7
251,39,"男","高卒","未婚",246,8,5
252,37,"男","高卒","既婚",486,8,5
253,40,"女","大卒","既婚",534,10,8
254,46,"男","高卒","未婚",371,5,2
255,69,"女","中卒","既婚",338,8,5
256,44,"女","高卒","未婚",447,8,2
257,61,"男","高卒","未婚",498,7,5
258,54,"女","中卒","既婚",423,9,5
259,43,"女","大卒","未婚",555,7,6
260,22,"男","大卒","既婚",617,5,10
261,37,"男","高卒","既婚",176,6,4
262,38,"男","高卒","既婚",481,9,3
263,46,"女","高卒","既婚",251,4,7
264,65,"女","大卒","未婚",650,5,8
265,69,"男","高卒","既婚",313,7,4
266,68,"女","中卒","未婚",375,7,5
267,43,"女","中卒","未婚",323,8,2
268,20,"男","高卒","既婚",415,7,5
269,39,"女","高卒","既婚",420,9,6
270,46,"女","高卒","未婚",338,7,0
271,58,"女","高卒","既婚",424,9,5
272,59,"女","高卒","未婚",418,8,4
273,55,"女","中卒","既婚",322,5,5
274,24,"女","高卒","既婚",313,6,6
275,58,"男","中卒","既婚",294,8,4
276,38,"男","大卒","既婚",608,5,6
277,48,"男","高卒","未婚",444,2,5
278,46,"女","高卒","既婚",368,8,3
279,51,"女","大卒","既婚",621,8,6
280,45,"女","高卒","既婚",471,7,2
281,20,"女","高卒","未婚",307,7,4
282,56,"男","高卒","未婚",323,8,5
283,51,"女","高卒","既婚",292,9,5
284,41,"女","大卒","未婚",720,7,6
285,47,"男","中卒","既婚",246,7,3
286,47,"女","高卒","未婚",362,7,7
287,48,"男","中卒","既婚",347,4,5
288,69,"女","高卒","未婚",311,5,5
289,42,"男","中卒","既婚",368,8,4
290,48,"男","高卒","既婚",473,8,5
291,63,"女","高卒","既婚",254,5,3
292,61,"男","高卒","既婚",343,9,5
293,62,"女","高卒","既婚",610,9,7
294,36,"女","高卒","既婚",317,7,5
295,69,"男","高卒","未婚",351,6,5
296,46,"女","高卒","既婚",316,8,1
297,69,"女","大卒","既婚",622,8,8
298,25,"男","高卒","既婚",379,7,4
299,45,"男","高卒","既婚",330,7,3
300,64,"男","中卒","既婚",313,8,4
301,34,"女","高卒","未婚",448,8,6
302,34,"男","高卒","未婚",412,7,4
303,31,"女","高卒","未婚",447,9,5
304,29,"男","大卒","未婚",513,7,5
305,38,"男","中卒","未婚",318,6,2
306,50,"女","大卒","未婚",527,8,10
307,20,"男","大卒","未婚",345,6,7
308,48,"男","大卒","既婚",696,9,5
309,64,"男","高卒","未婚",443,9,5
310,69,"女","大卒","既婚",421,7,7
311,65,"男","高卒","既婚",438,9,5
312,56,"女","大卒","未婚",758,8,10
313,20,"女","高卒","既婚",367,6,8
314,36,"男","中卒","既婚",293,9,3
315,40,"男","大卒","既婚",514,8,8
316,56,"男","高卒","未婚",369,6,7
317,43,"女","大卒","既婚",622,10,8
318,26,"男","高卒","未婚",165,3,5
319,69,"女","高卒","未婚",382,6,7
320,59,"男","大卒","既婚",485,7,7
321,49,"男","大卒","既婚",539,8,4
322,63,"男","高卒","既婚",421,8,6
323,25,"女","大卒","未婚",609,10,5
324,55,"男","高卒","既婚",450,4,4
325,37,"女","大卒","既婚",612,10,7
326,55,"女","大卒","既婚",504,7,4
327,44,"女","高卒","既婚",549,10,5
328,54,"女","大卒","既婚",689,8,9
329,65,"女","高卒","既婚",511,9,5
330,45,"男","大卒","既婚",577,8,5
331,60,"女","高卒","既婚",448,7,5
332,27,"女","高卒","未婚",393,5,4
333,34,"男","中卒","既婚",182,5,4
334,68,"男","大卒","既婚",511,7,6
335,51,"男","大卒","既婚",583,8,6
336,20,"女","高卒","既婚",253,8,5
337,25,"女","大卒","未婚",507,7,7
338,42,"男","大卒","既婚",391,9,8
339,58,"男","中卒","既婚",517,6,7
340,43,"男","大卒","既婚",448,8,5
341,54,"男","高卒","既婚",477,9,7
342,59,"女","中卒","未婚",268,7,2
343,69,"男","大卒","既婚",530,8,7
344,46,"男","高卒","既婚",536,7,3
345,44,"女","高卒","既婚",376,6,5
346,20,"女","大卒","既婚",477,6,5
347,46,"男","高卒","既婚",542,9,6
348,36,"女","大卒","未婚",527,6,7
349,30,"女","大卒","既婚",539,6,5
350,42,"女","高卒","既婚",355,8,6
351,60,"男","中卒","既婚",357,8,6
352,20,"男","高卒","既婚",415,4,5
353,39,"女","大卒","既婚",595,10,5
354,47,"男","高卒","未婚",533,8,3
355,32,"女","高卒","未婚",389,5,3
356,50,"女","大卒","既婚",294,6,5
357,51,"女","高卒","未婚",563,7,6
358,45,"女","大卒","既婚",438,8,7
359,20,"女","中卒","未婚",194,4,5
360,69,"女","大卒","未婚",615,6,6
361,42,"男","大卒","未婚",732,10,10
362,55,"男","高卒","既婚",367,9,4
363,49,"女","大卒","既婚",372,10,4
364,60,"男","中卒","既婚",426,6,6
365,57,"女","高卒","既婚",552,8,7
366,42,"女","高卒","未婚",234,4,4
367,51,"女","中卒","未婚",306,7,5
368,31,"男","高卒","未婚",335,6,7
369,58,"男","高卒","既婚",547,10,5
370,38,"男","大卒","未婚",767,7,10
371,69,"男","大卒","既婚",779,9,7
372,20,"女","大卒","既婚",393,6,8
373,38,"女","高卒","既婚",553,9,6
374,57,"女","中卒","未婚",159,5,3
375,53,"女","高卒","未婚",471,5,6
376,36,"女","中卒","未婚",341,6,5
377,30,"男","高卒","既婚",222,6,6
378,47,"女","大卒","既婚",469,7,7
379,45,"女","大卒","未婚",565,8,9
380,20,"男","大卒","未婚",520,8,8
381,46,"女","大卒","既婚",322,9,5
382,48,"女","高卒","既婚",334,7,7
383,48,"男","高卒","既婚",428,8,4
384,29,"女","高卒","既婚",190,6,5
385,52,"男","高卒","既婚",442,8,4
386,66,"女","高卒","既婚",378,9,6
387,52,"男","中卒","未婚",301,4,4
388,28,"男","高卒","既婚",169,8,4
389,38,"女","高卒","既婚",390,7,8
390,50,"男","大卒","未婚",464,7,5
391,35,"男","大卒","未婚",627,5,9
392,20,"女","高卒","未婚",192,6,3
393,58,"女","高卒","既婚",371,10,5
394,33,"女","高卒","未婚",447,7,5
395,36,"男","高卒","既婚",443,5,8
396,68,"男","中卒","既婚",380,10,6
397,33,"女","大卒","既婚",227,6,5
398,58,"男","大卒","未婚",695,6,8
399,26,"男","大卒","未婚",492,6,7
400,40,"男","大卒","既婚",405,6,4
401,44,"男","高卒","未婚",217,6,2
402,27,"男","高卒","未婚",347,7,4
403,35,"女","高卒","既婚",475,7,5
404,45,"男","高卒","既婚",470,9,4
405,55,"男","高卒","既婚",357,8,3
406,20,"女","高卒","既婚",441,6,5
407,40,"女","中卒","未婚",417,8,7
408,56,"男","高卒","未婚",460,4,5
409,37,"男","中卒","未婚",204,5,5
410,48,"女","高卒","未婚",445,6,5
411,52,"男","高卒","既婚",349,6,5
412,49,"男","大卒","既婚",457,9,10
413,55,"女","高卒","未婚",568,7,6
414,43,"女","中卒","既婚",328,8,3
415,39,"男","中卒","既婚",150,7,1
416,20,"女","大卒","未婚",706,6,7
417,44,"女","大卒","既婚",741,10,9
418,51,"女","高卒","既婚",240,6,4
419,53,"男","中卒","未婚",213,7,5
420,37,"女","高卒","既婚",491,10,5
421,69,"男","高卒","既婚",312,8,2
422,49,"男","大卒","未婚",529,8,4
423,47,"女","中卒","未婚",289,7,2
424,64,"女","大卒","未婚",596,9,7
425,34,"男","高卒","既婚",435,6,4
426,38,"女","高卒","未婚",548,6,5
427,69,"女","大卒","未婚",540,7,7
428,45,"男","大卒","既婚",482,8,5
429,69,"女","大卒","未婚",567,5,8
430,23,"男","大卒","既婚",415,5,5
431,42,"男","高卒","既婚",478,7,5
432,51,"女","高卒","既婚",466,10,4
433,50,"女","高卒","未婚",450,10,6
434,30,"男","大卒","既婚",576,9,8
435,45,"女","高卒","既婚",273,5,4
436,29,"男","高卒","未婚",383,7,2
437,56,"女","中卒","既婚",363,7,5
438,61,"男","中卒","既婚",250,7,4
439,20,"女","大卒","未婚",768,9,9
440,64,"男","高卒","未婚",622,9,8
441,26,"男","大卒","既婚",394,8,5
442,52,"女","大卒","既婚",603,7,6
443,55,"女","大卒","未婚",368,8,4
444,42,"女","大卒","未婚",689,9,9
445,35,"女","高卒","既婚",376,9,4
446,47,"男","高卒","既婚",374,9,4
447,52,"女","高卒","既婚",587,9,6
448,58,"女","高卒","既婚",642,7,6
449,20,"女","大卒","既婚",531,8,6
450,20,"男","高卒","既婚",367,5,8
451,66,"男","高卒","既婚",516,9,4
452,61,"女","高卒","既婚",365,8,7
453,52,"女","高卒","未婚",464,8,6
454,56,"男","高卒","未婚",323,6,7
455,59,"男","高卒","既婚",398,4,5
456,20,"男","高卒","未婚",429,5,5
457,62,"男","高卒","未婚",358,7,4
458,38,"女","大卒","既婚",480,8,5
459,48,"男","大卒","既婚",572,9,7
460,41,"女","高卒","既婚",535,7,5
461,58,"女","中卒","既婚",370,8,4
462,40,"男","大卒","既婚",758,8,9
463,53,"男","高卒","既婚",455,7,5
464,39,"女","高卒","既婚",544,8,1
465,29,"女","大卒","未婚",248,9,5
466,63,"女","中卒","未婚",257,6,4
467,56,"女","大卒","未婚",396,7,6
468,69,"女","高卒","未婚",588,9,6
469,46,"女","高卒","未婚",662,7,6
470,62,"女","高卒","未婚",329,7,6
471,69,"女","高卒","未婚",459,6,5
472,41,"女","高卒","未婚",235,7,3
473,25,"女","大卒","既婚",605,6,9
474,41,"男","大卒","既婚",717,8,10
475,42,"女","高卒","未婚",393,8,4
476,47,"女","大卒","既婚",336,10,6
477,69,"男","高卒","既婚",308,7,3
478,40,"女","高卒","既婚",433,4,5
479,51,"男","大卒","既婚",607,10,10
480,42,"女","中卒","既婚",430,7,6
481,45,"女","高卒","既婚",318,9,6
482,50,"女","大卒","既婚",601,6,8
483,65,"男","高卒","既婚",570,7,6
484,47,"女","高卒","未婚",370,9,2
485,56,"男","高卒","既婚",319,8,6
486,57,"女","高卒","既婚",431,8,5
487,59,"女","中卒","既婚",321,9,3
488,36,"男","中卒","既婚",341,5,6
489,69,"女","大卒","既婚",697,9,9
490,39,"男","大卒","未婚",352,7,8
491,43,"男","高卒","既婚",179,8,5
492,66,"女","高卒","既婚",504,7,4
493,64,"男","高卒","未婚",208,6,4
494,29,"男","大卒","既婚",284,8,3
495,32,"男","高卒","既婚",404,10,5
496,25,"男","大卒","既婚",408,10,4
497,48,"男","中卒","未婚",270,2,4
498,47,"女","大卒","未婚",539,7,7
499,50,"男","大卒","既婚",713,9,7
500,53,"女","高卒","既婚",528,9,6
501,36,"男","高卒","既婚",402,6,3
502,30,"男","高卒","既婚",435,9,6
503,60,"男","大卒","既婚",442,6,9
504,56,"女","高卒","未婚",294,6,5
505,22,"男","高卒","既婚",151,8,6
506,44,"女","大卒","既婚",588,7,7
507,32,"男","高卒","既婚",397,8,5
508,20,"男","高卒","既婚",388,10,7
509,47,"男","大卒","未婚",500,6,7
510,44,"男","大卒","未婚",507,5,8
511,44,"女","中卒","未婚",407,8,4
512,48,"女","高卒","既婚",559,7,6
513,58,"女","大卒","既婚",648,8,8
514,48,"女","高卒","未婚",302,7,5
515,36,"男","大卒","既婚",395,8,7
516,34,"男","高卒","既婚",448,9,5
517,43,"女","高卒","既婚",342,7,3
518,50,"男","高卒","既婚",324,7,7
519,29,"男","大卒","未婚",763,6,7
520,42,"女","高卒","既婚",300,7,5
521,60,"男","高卒","既婚",634,10,3
522,43,"男","大卒","未婚",476,6,6
523,35,"男","高卒","既婚",431,7,9
524,41,"女","高卒","未婚",192,7,4
525,62,"女","高卒","既婚",385,6,6
526,53,"男","高卒","既婚",564,9,7
527,64,"女","高卒","既婚",550,8,4
528,47,"女","大卒","未婚",569,6,8
529,51,"男","中卒","未婚",317,7,3
530,37,"男","大卒","既婚",365,7,7
531,54,"男","高卒","未婚",323,6,3
532,37,"男","中卒","未婚",178,5,3
533,24,"男","大卒","未婚",520,9,8
534,47,"女","大卒","未婚",556,6,6
535,69,"男","大卒","既婚",474,9,6
536,57,"女","高卒","既婚",302,8,5
537,62,"女","中卒","既婚",206,7,5
538,50,"男","高卒","既婚",377,6,7
539,36,"男","高卒","未婚",378,6,9
540,42,"男","高卒","未婚",532,6,5
541,41,"男","高卒","既婚",578,10,8
542,38,"女","中卒","既婚",319,6,5
543,56,"男","高卒","既婚",455,10,5
544,27,"男","大卒","既婚",583,8,7
545,58,"男","中卒","未婚",388,5,3
546,58,"男","中卒","未婚",216,5,5
547,27,"女","大卒","既婚",534,8,8
548,55,"男","大卒","既婚",289,10,5
549,69,"女","高卒","未婚",423,6,3
550,37,"女","大卒","既婚",374,7,6
551,58,"男","中卒","既婚",265,7,6
552,33,"女","高卒","未婚",150,6,6
553,62,"女","大卒","既婚",597,7,6
554,49,"女","大卒","既婚",557,10,7
555,69,"男","高卒","既婚",401,6,8
556,23,"男","大卒","既婚",364,6,5
557,44,"女","高卒","未婚",331,6,3
558,37,"女","高卒","未婚",297,6,5
559,42,"女","高卒","既婚",409,9,9
560,36,"女","高卒","既婚",441,7,4
561,32,"女","大卒","既婚",491,8,6
562,54,"男","高卒","既婚",261,6,4
563,29,"女","高卒","既婚",408,10,5
564,67,"女","大卒","既婚",627,10,7
565,27,"女","大卒","既婚",746,7,9
566,47,"男","中卒","未婚",150,6,2
567,53,"女","高卒","既婚",421,6,5
568,54,"女","中卒","未婚",399,5,6
569,40,"女","大卒","未婚",512,6,7
570,46,"男","大卒","未婚",513,5,8
571,59,"女","中卒","既婚",271,8,2
572,23,"男","大卒","未婚",562,6,6
573,33,"女","大卒","未婚",543,7,7
574,50,"女","中卒","既婚",366,9,2
575,38,"女","大卒","未婚",442,8,7
576,66,"女","大卒","未婚",563,4,8
577,55,"女","高卒","未婚",284,6,4
578,46,"女","高卒","未婚",385,7,2
579,22,"女","大卒","未婚",545,9,7
580,45,"男","高卒","既婚",472,7,3
581,40,"男","大卒","既婚",641,8,7
582,43,"女","高卒","既婚",376,10,3
583,27,"男","高卒","既婚",532,8,3
584,52,"女","大卒","未婚",544,10,8
585,29,"女","中卒","未婚",225,3,4
586,42,"男","高卒","未婚",356,9,3
587,51,"男","高卒","既婚",313,4,2
588,33,"男","大卒","既婚",515,9,5
589,54,"男","大卒","未婚",378,8,5
590,25,"女","高卒","未婚",475,6,7
591,20,"男","大卒","既婚",568,7,8
592,52,"男","大卒","既婚",557,8,6
593,58,"男","大卒","未婚",791,8,10
594,41,"女","高卒","未婚",378,7,3
595,53,"女","高卒","既婚",499,10,8
596,28,"男","中卒","既婚",310,7,4
597,43,"女","大卒","既婚",640,5,10
598,20,"男","中卒","既婚",189,7,2
599,63,"男","高卒","既婚",384,7,5
600,69,"女","大卒","既婚",666,10,7
601,61,"女","高卒","既婚",539,7,6
602,45,"男","大卒","未婚",579,6,6
603,45,"女","高卒","既婚",308,5,3
604,22,"男","高卒","既婚",408,5,4
605,57,"女","高卒","既婚",307,5,7
606,42,"女","大卒","既婚",497,8,7
607,35,"男","中卒","未婚",263,2,5
608,24,"女","大卒","未婚",514,9,6
609,41,"男","中卒","既婚",302,6,4
610,32,"女","高卒","既婚",248,7,4
611,39,"男","大卒","未婚",570,9,7
612,27,"女","大卒","既婚",560,9,7
613,69,"女","大卒","未婚",461,7,7
614,45,"女","高卒","未婚",312,5,3
615,61,"男","高卒","未婚",491,5,7
616,20,"男","高卒","未婚",234,7,7
617,38,"女","大卒","既婚",698,8,8
618,35,"男","大卒","既婚",397,7,7
619,27,"女","高卒","既婚",295,6,5
620,68,"男","大卒","未婚",588,6,7
621,24,"男","大卒","既婚",564,4,8
622,50,"女","大卒","既婚",579,6,7
623,58,"女","高卒","未婚",519,5,4
624,48,"男","高卒","未婚",383,6,5
625,32,"男","大卒","未婚",432,5,8
626,59,"女","中卒","既婚",371,8,5
627,48,"女","高卒","既婚",343,8,5
628,29,"女","高卒","未婚",275,5,4
629,24,"女","高卒","既婚",390,5,6
630,69,"女","高卒","未婚",698,6,3
631,35,"男","高卒","既婚",459,9,5
632,20,"男","高卒","既婚",335,8,2
633,53,"女","高卒","未婚",466,6,5
634,50,"女","大卒","既婚",320,4,4
635,25,"女","中卒","未婚",187,5,5
636,20,"女","高卒","未婚",416,2,4
637,43,"男","大卒","未婚",762,10,7
638,62,"男","高卒","既婚",422,8,7
639,55,"男","大卒","既婚",513,10,8
640,38,"女","大卒","未婚",523,7,6
641,32,"女","高卒","既婚",371,10,2
642,49,"男","高卒","既婚",374,6,6
643,47,"女","中卒","既婚",355,9,4
644,54,"女","高卒","未婚",447,7,4
645,39,"男","大卒","未婚",656,8,7
646,58,"男","中卒","既婚",505,6,3
647,33,"男","高卒","未婚",394,10,3
648,40,"女","高卒","未婚",313,7,3
649,56,"男","大卒","未婚",513,6,8
650,60,"女","大卒","未婚",523,5,5
651,20,"男","大卒","既婚",423,5,6
652,47,"男","高卒","既婚",436,5,6
653,54,"男","高卒","未婚",321,3,5
654,23,"女","大卒","未婚",383,7,3
655,52,"女","中卒","既婚",288,9,6
656,33,"男","大卒","既婚",468,8,7
657,60,"女","高卒","未婚",490,4,7
658,53,"男","大卒","既婚",797,9,7
659,57,"女","中卒","未婚",262,8,3
660,47,"男","大卒","既婚",562,9,7
661,58,"女","大卒","未婚",740,10,9
662,66,"女","大卒","未婚",537,8,5
663,69,"男","高卒","未婚",308,1,4
664,45,"女","中卒","既婚",227,8,5
